evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
haiku-3.5,63/37,75/25,76/24,73/27,81/19,71/29,65/35,68/32,67/33,60/40,0/0,61/39,71/29,72/28,60/40,66/34,60/40,64/36,62/38,65/35,65/35,67/33,66/34,67/33
sonnet-3.7,47/53,56/44,46/54,36/64,52/48,37/63,43/57,37/63,43/57,37/63,44/56,0/0,50/50,57/43,29/71,35/65,48/52,49/51,49/51,44/56,40/60,38/62,33/67,30/70
sonnet-4.5,2/98,8/92,7/93,12/88,6/94,4/96,37/63,15/85,27/73,15/85,24/76,20/80,0/0,9/91,15/85,15/85,40/60,30/70,30/70,43/57,36/64,17/83,17/83,23/77
opus-4.1,23/77,36/63,29/70,44/56,24/75,33/67,47/53,42/58,38/61,45/55,38/60,34/66,25/74,0/0,40/60,42/58,50/50,49/51,46/54,49/51,42/58,40/60,46/54,43/57
gemini-2.0-flash-lite,51/49,42/58,46/54,27/73,49/51,41/59,39/61,30/70,37/63,27/73,42/58,42/58,39/61,47/53,0/0,23/77,38/62,36/64,37/63,38/62,40/60,33/67,23/77,33/67
gemini-2.0-flash,62/38,68/32,58/42,47/53,64/36,53/47,52/48,42/58,48/52,40/60,59/41,51/49,59/41,59/41,28/72,0/0,51/49,49/51,46/54,51/49,51/49,37/63,40/60,41/59
ll-3.1-8b,93/7,98/2,82/18,92/8,96/4,97/3,99/1,99/1,98/2,99/1,97/3,99/1,97/3,95/5,100/0,99/1,0/0,99/1,100/0,100/0,100/0,99/1,99/1,97/3
ll-3.1-70b,95/5,93/7,84/16,85/15,94/6,86/14,93/7,85/15,93/7,93/7,97/3,96/4,96/4,97/3,90/10,96/4,92/8,0/0,97/3,96/4,94/6,90/10,90/10,89/11
ll-3.1-405b,84/16,94/6,69/31,61/39,92/4,84/16,87/13,71/29,87/13,86/14,96/4,90/10,82/18,76/24,84/16,85/15,77/23,89/11,0/0,83/17,86/14,80/20,77/23,77/23
qwen-2.5-7b,91/9,89/11,75/25,84/16,92/8,87/13,93/7,88/12,90/10,92/8,87/13,86/14,86/14,86/14,90/10,87/13,86/14,91/9,91/9,0/0,95/5,84/16,89/11,88/12
qwen-2.5-72b,83/17,91/9,85/15,73/27,94/6,89/11,97/3,83/17,97/3,87/13,91/9,93/7,89/11,86/14,79/21,78/22,80/20,88/12,95/5,89/11,0/0,85/15,85/15,84/16
qwen-3.0-80b,35/65,44/56,32/68,31/69,51/49,35/65,51/49,30/70,50/50,46/54,59/41,55/45,54/46,51/49,38/62,37/63,51/49,50/50,51/49,52/48,54/46,0/0,38/62,45/55
deepseek-3.1,67/33,84/16,69/31,63/37,81/19,69/31,84/16,65/35,78/22,79/21,90/10,89/11,83/17,89/11,76/24,82/18,77/23,89/11,88/12,80/20,84/16,87/13,0/0,77/23
kimi-k2,70/30,76/24,64/36,69/31,72/28,65/35,80/20,71/29,73/27,71/29,68/32,80/20,81/19,80/20,64/36,70/30,62/38,74/26,75/25,72/28,74/26,72/28,76/24,0/0
